,activation,solver,alpha,batch_size,learning_rate,hidden_layers,accuracy
0,logistic,lbfgs,0.0001,100,constant,"(88, 76, 64, 51, 38, 26, 14)",1.4805439590429321
1,relu,lbfgs,0.0001,200,constant,"(5,)",1.481552361467055
2,relu,lbfgs,1e-05,300,adaptive,"(87, 72, 58, 44, 30, 15)",1.4831371460208334
3,relu,adam,0.001,300,constant,"(5, 2)",1.4811941486036542
4,logistic,adam,0.001,200,invscaling,"(76, 51, 26)",1.5676578632407967
5,tanh,lbfgs,1e-05,300,adaptive,"(5, 2)",1.4839762508876422
6,relu,sgd,0.001,300,invscaling,"(76, 51, 26)",1.5220330281805134
7,logistic,adam,1e-05,300,adaptive,"(87, 72, 58, 44, 30, 15)",1.7252936726692476
8,logistic,adam,1e-05,100,invscaling,"(81, 61, 41, 21)",1.612947410962223
9,logistic,adam,0.0001,200,invscaling,"(76, 51, 26)",1.5962256702396522
10,tanh,lbfgs,0.0001,300,invscaling,"(68, 34)",1.4891992406973966
11,logistic,adam,0.0001,300,invscaling,"(84, 68, 51, 34, 18)",1.707067055117378
12,relu,sgd,1e-05,300,invscaling,"(76, 51, 26)",1.5233303784501084
13,tanh,lbfgs,0.0001,300,invscaling,"(81, 61, 41, 21)",1.501956150919476
14,tanh,adam,1e-05,100,adaptive,"(5,)",1.4847214971767206
15,logistic,adam,1e-05,200,adaptive,"(5, 2)",1.4842583569368393
16,relu,lbfgs,0.0001,200,constant,(),1.4901036302821722
17,relu,adam,0.0001,300,invscaling,"(68, 34)",1.5278554210930413
18,logistic,lbfgs,0.001,100,constant,(),1.4901118242191091
19,relu,sgd,0.001,300,adaptive,"(81, 61, 41, 21)",1.5761968459720315
20,logistic,adam,0.0001,100,adaptive,"(5,)",1.483795398166536
21,logistic,lbfgs,0.001,300,adaptive,"(51,)",1.478774412957874
22,logistic,sgd,0.001,100,constant,"(68, 34)",1.487549563764278
23,logistic,adam,0.001,100,invscaling,"(68, 34)",1.529562402741942
24,logistic,sgd,0.0001,300,invscaling,(),1.9388089282304994
25,relu,sgd,0.0001,200,constant,"(87, 72, 58, 44, 30, 15)",1.5653048715643172
26,logistic,lbfgs,0.001,300,adaptive,"(88, 76, 64, 51, 38, 26, 14)",1.4812592392934176
27,relu,adam,1e-05,200,invscaling,"(5,)",1.4858387776005568
28,logistic,adam,0.001,300,invscaling,"(76, 51, 26)",1.5853222772771647
29,logistic,lbfgs,0.001,200,constant,"(81, 61, 41, 21)",1.49450978974481
30,tanh,adam,1e-05,300,adaptive,"(88, 76, 64, 51, 38, 26, 14)",1.6970325269360564
31,logistic,adam,1e-05,300,constant,"(51,)",1.4905519387054407
32,logistic,lbfgs,0.001,300,constant,"(81, 61, 41, 21)",1.5062631503047699
33,relu,adam,0.0001,300,adaptive,"(81, 61, 41, 21)",1.671412148734678
34,relu,lbfgs,1e-05,200,invscaling,"(81, 61, 41, 21)",1.4782564619439467
35,logistic,sgd,1e-05,300,invscaling,"(76, 51, 26)",1.5218509490523553
36,relu,lbfgs,0.0001,200,invscaling,"(87, 72, 58, 44, 30, 15)",1.4808051054379119
37,tanh,sgd,1e-05,100,constant,(),8.276051616166791
38,tanh,lbfgs,0.001,200,adaptive,"(5, 2)",1.480178926563093
39,tanh,lbfgs,0.001,200,adaptive,"(51,)",1.4803609443569419
40,relu,lbfgs,1e-05,100,adaptive,"(88, 76, 64, 51, 38, 26, 14)",1.495202791489236
41,tanh,lbfgs,0.0001,300,invscaling,"(5, 2)",1.4837400756172658
42,relu,lbfgs,0.0001,300,invscaling,"(84, 68, 51, 34, 18)",1.50449037706576
43,relu,lbfgs,0.0001,300,invscaling,"(5, 2)",1.4826717159990743
44,tanh,lbfgs,1e-05,100,invscaling,"(87, 72, 58, 44, 30, 15)",1.4820775578554446
45,relu,lbfgs,0.0001,200,adaptive,"(51,)",1.4789779636328635
46,tanh,sgd,1e-05,200,invscaling,"(87, 72, 58, 44, 30, 15)",1.6336372269218198
47,tanh,adam,1e-05,100,adaptive,"(68, 34)",1.5426421720653127
48,logistic,sgd,0.0001,100,adaptive,"(68, 34)",1.4941687775191097
49,logistic,adam,0.0001,100,constant,"(68, 34)",1.526131386480236
50,tanh,lbfgs,0.001,100,constant,"(68, 34)",1.4888666390670284
51,logistic,adam,0.001,200,adaptive,"(5,)",1.4887119192529226
52,logistic,sgd,1e-05,300,adaptive,(),4.532868711140287
53,relu,lbfgs,0.001,100,invscaling,"(87, 72, 58, 44, 30, 15)",1.5003751682296598
54,tanh,lbfgs,0.0001,200,constant,"(87, 72, 58, 44, 30, 15)",1.4964084413042376
55,logistic,adam,0.0001,100,constant,"(5, 2)",1.4787577235814606
56,relu,adam,0.001,200,constant,"(51,)",1.4886860117823748
57,logistic,lbfgs,0.001,100,constant,"(87, 72, 58, 44, 30, 15)",1.4796917705879067
58,logistic,lbfgs,0.0001,100,invscaling,"(84, 68, 51, 34, 18)",1.5250835907938716
59,logistic,sgd,0.001,100,constant,"(51,)",1.4800068908039414
60,logistic,adam,0.0001,100,invscaling,"(84, 68, 51, 34, 18)",1.6071177725697765
