yelp_business_id,mapped_ROW_ID
Be7Mwq06nf1eNLblo1ekow,5325
YIez_A3WOt9J2SXN7OMa2Q,56198
cuXCQM-9VwpZlSneEY1b3w,69645
i2Fd0dl39BZ8nVxBnSPsKg,74159
_T8qy9XAKAFLJdmoLg1Q-g,71017
Bw_rDtU2REt7ZlkPWT21kg,46048
2tg7rpwAbrex81bMKOnOtQ,45222
vwVoksbTKehDP8ZGUQaVfQ,31148
3YKV1eralyrKQqoWOTJMDA,88316
ZP_1K8uC-YGbdPQ0KfNJog,65620
p7vvL9T6iXiL7c9I2gPGEA,48086
xS5Tg_H9GBEyOTWl9JwhvA,51547
4qSb9hR5F4D_dq31FJVj8w,81065
YA7kPicnPFqd_gydw0SOjw,56770
YkAIlxYZ1guSqbbowU9X4g,54813
DM6SwVs5ksGe9mWKO94Q0A,27103
D_VpAGPNEde64N0CwXMkiw,75465
ii_zDR8crbQVJehMMWoCkQ,28619
4SQvBWjDh_eUx_10M-eigA,70596
QoXT0qI6_3WeHImUuLAyjg,26240
webM3oChwDCkzZEmjrSeHQ,17756
mhcaplFScvQBEk50cmd3jg,82681
_fe36eepp9tsP5vzvKbdQA,3583
42-UJ-c_97IeqUc6BWjmnA,52341
qWWVizgVxBaXXbE8Y-7-qA,60246
n-htQX5fDg1VNiTKTJsu_w,60074
wL5yGvlL1zXZ4EPJ8d0hIA,78676
zqRmOmO38SLmv3fmeoK3hA,14977
DQf63-KJ25m-kDIMto614g,8684
HgqDZJpVY_eWJyYbFyTEfQ,7851
NrFsdILQztHSlIUNra82nQ,18352
qrr5PjTljEn_94tL83ETag,51847
oICXzFAaUMrYGzjRWmkw4Q,364
sTigKodOrD_HIdcZ8msGJw,39826
yiAf2ChB0HNBkXAQESGt6w,16894
h0TKP2PK0QaAqvqdILU1Vg,56863
Nx8y33-xVdfFAELMoeZw0A,33150
A4stJYgleftw47rLi1qTZA,34666
gcec09O3lhUrzqXNJq0QVQ,4972
LVQLyQBh-YrPx5E8OtBcsQ,19491
m0ONN_-2wq-xN9clbhoSKQ,49357
u28SYjn6swe7A2DWdgZ7NQ,53595
NNs2v3f6FIdZ7cSu3LRaHw,46336
3iq7mvnwfYlOmdzENYolng,87874
TYMcEGCe0csyQiELkL7bQQ,37716
kl2kuAgGZ7tfi9kznMhQNA,74452
2VtTzskzFcwVnXgGYsY1lQ,77222
4U9hnKTGidPKOSu_28m9dA,25235
qCTuGaciae73u7C57s2_0Q,7758
WwrKHFXpBqLQAkhmU01Xvw,19839
8al-XRt5nuIize8_STWffQ,50905
wHTPHng-wWg85AF_y8IDuQ,63021
Rp7ABbhY8kUpgwrzJADnqw,19916
p6mnPa2-__9ttPTIfecc0Q,23814
UAXz2KC1aXpxzV-MLdXbmQ,37553
IZlRDHCBtT81hzRHi_GDbQ,15860
kBYBXh7M9wKXvHgluJWiLQ,77136
UZilBC8-jkGrR8y9AFrCgA,88343
yuFdJdrnfMp3cfXVwTXjjA,51520
Jnw072ogcKlp758gI_PTjQ,34020
Lyzr1uckXL0U-iBoMc0yfg,73443
OFbiUooV4CqLjrvdOBXz-A,55512
j7kbWAOWbpbejCaHyJwqjw,64760
uQ7LZpcYRTcibzK1w9E5uQ,55892
fIBrbhvU9T2PZuch_wBK_g,29998
fxRcHzovnRyWh_WMdQoNOQ,89862
NeOoWmrgru1iljThQ52yKA,57336
skjXX8qzEMeZ5Jgj6SpxoQ,71204
la4mM0mSexjkOLe1goXJPg,89935
zlukBS-cXNz4viHfsVyoZw,47956
WroANm_x9jIO_tr_Wf8Dkg,86815
hZuRyS8IXXuEQkUCas9O1Q,7106
ynmTXY9yJDiNkO4HUmxRSQ,87884
bB9JPvR2d-I1jxSVlqN2DQ,88469
2V8r_VDFqbGNZclTW25FGg,31558
hbp72ML8BHykBztI6mWOIw,29370
98NaJ8FWzPuoymHfj6IIeA,33848
eQmGP0FEnewPoW_jBXsg4A,59719
r71RUi85E60aGuhVqXWjKA,35676
53GguDU6v46zPJTL3CZl5g,40858
RDqut1o5n3wuwUZa0CJ3jg,5110
pPO_UXvffah1uKhMlo9LBw,89528
CN5nuUQod0f8g3oh99qq0w,74487
0rg8sJGPWebnxNFExpNdHA,69942
R8ft_fn8y9ejKoYnQwdByg,24763
eOXoQvgHyYLaqcpRxRUlTA,43965
gkQNfTEV_XprRvnfZEXPWg,30905
Da1wKWu_ma26i71GKtWDrw,37475
Sal1p68qpTKkyd4Si8OH6g,30907
q9kVbGaUwsalkhyFJdNQ0Q,84105
W2NzlS8OJzGfDfr9oRz11Q,48913
DeGSNRgk2sAfYbliAa6m2A,69530
B7yBxYH0ZHYtvrsyrrU1SQ,84778
DLkaSKMoeeQO-_1C_lzh2A,12282
6NffysI3E7L4kr71dxInIg,73495
AOhJfJVuEPUh_in7WHDnzQ,70006
NuxrRTI2IM_vMk11vKA1ZQ,34660
_nsuZ7Fl1aMwqZGWEraQHw,57810
s-9ZfWtECJLMnND12t6RMA,79433
EO3i5kTUG7_S2OIQ23sdSA,18671
8ZpXbFWIY4uEnmOJMr6gyQ,59369
1Ta487VlU6ceB0euIS9-EA,16774
xkoQ1c4c6F9Fy3J73kN7Rg,48346
W3K_5U2KEw0gxK7cvuB2mw,34556
K6MBwTYeuLH0VsTVCLVgxg,80330
3QRdvd5F6rnKzLLb1mIg6Q,41682
i-6eBvkPRtVh7cbNDS4Agw,6199
3XgqVF5YKdQLCWDKiEkt0g,19444
_4noxz6NM0gBeVhZ58Emtg,32742
sGAbBm8eX6DY5R5S2NSy6g,43564
SYGoFUdLLPyh1lZ9_nwOUA,52904
LBHbyID7tcaGszznHtnCrw,37981
L23nB3EiC0OSfP8792Bk-Q,40786
G2Z-4U6cDsDQvT6v3FzYmA,72382
bns0V-7B5eAUBQ5qfXL12w,44848
5WJOM9DefIvLOIrntDIv-A,60960
D9IvgZeBD2qFfhIRbOcBFQ,60422
emXQlQykTqiFRDVhlmm0xg,81911
_BJ2lBc1TWwIfxNzXbaaBA,55929
ufwkkMd9yr9cFU1R5ONArg,54735
AM0NHSxMeX92OKBt0ywmSA,60583
E0djzqBHz923hwj-MJFO6Q,77242
NFaVXGofY855SyGs6D3_-Q,77988
kd_3MlqHoa8NxFHTJIjaOg,48180
DAfWBoWNe_B5_lJAfYH5KQ,66138
RwCsc92Rzvwus3CUYjWsYA,9593
s7Cq3DdSELAU_IFYXOnicg,33237
gVILTnDFDsVuVdxFVkRK7A,78700
6eRSdODyj9GS0w6zlhrWkg,187
p5cnaEIowlS-qkXGRzT7AQ,13032
x4q_kJ-dvaHL7dkpZKJUdg,40171
ithS085HZL2d6Sx3PTxFew,59540
DLwpjhatiSRN7QqZQwokSw,87942
yeOsE6Hnl_EiLJw2L5NXLA,56035
212rvQceJEiv5Ux6qas7vw,46062
uChTCA6MsLAciDRklpO-Fw,28381
EoUYBTQWpUJr7Sp6Kpw1aQ,52296
gFrOJ2rOR8ak4xyaOcao-A,622
1gL9mw6HRbetCb9vOBoPQw,35589
cen0cy8yRG4DQSR_8xcupQ,41593
